,Rating,title,date,stock
129008,N,"B of A Securities Maintains Neutral on AutoZone, Raises Price Target to $1070",2020-04-20 08:39:00-04:00,AZO
129009,N,"Nomura Maintains Buy on AutoZone, Lowers Price Target to $1031",2020-04-13 08:58:00-04:00,AZO
129010,N,"Wells Fargo Maintains Overweight on AutoZone, Raises Price Target to $1050",2020-04-09 10:49:00-04:00,AZO
129011,G,AutoZone Analyst Moves To Sidelines As Pandemic Cripples Demand,2020-04-08 13:00:00-04:00,AZO
129012,N,"Benzinga's Top Upgrades, Downgrades For April 8, 2020",2020-04-08 09:35:00-04:00,AZO
129013,N,10 Biggest Price Target Changes For Wednesday,2020-04-08 08:22:00-04:00,AZO
129014,B,"B of A Securities Downgrades AutoZone to Neutral, Lowers Price Target to $950",2020-04-08 07:32:00-04:00,AZO
129015,N,"UBS Maintains Buy on AutoZone, Lowers Price Target to $1100",2020-04-03 10:14:00-04:00,AZO
129016,N,"Morgan Stanley Maintains Overweight on AutoZone, Lowers Price Target to $1140",2020-04-02 09:06:00-04:00,AZO
129017,B,Shares of several retail companies are trading lower amid market weakness as macro concerns continue to grow as a result of the coronavirus pandemic.,2020-04-01 09:13:00-04:00,AZO
129018,B,"Shares of several healthcare companies are trading lower, selling off from this week's strength. While the US stimulus legislation has boosted economic optimism, demand concerns still exist amid the coronavirus outbreak.",2020-03-27 09:22:00-04:00,AZO
129019,N,"Wells Fargo Earlier Maintained Overweight on AutoZone, Lowered Price Target to $1000",2020-03-23 13:55:00-04:00,AZO
129020,B,Stocks That Hit 52-Week Lows On Monday,2020-03-23 10:34:00-04:00,AZO
129021,N,"Notable Insider Buys In The Past Week: AutoZone, Exxon, Dell And More",2020-03-21 16:58:00-04:00,AZO
129022,B,Stocks That Hit 52-Week Lows On Thursday,2020-03-19 10:49:00-04:00,AZO
129023,N,"Nomura Maintains Buy on AutoZone, Lowers Price Target to $1090",2020-03-19 09:51:00-04:00,AZO
129025,G,"Morgan Stanley Yesterday Upgraded AutoZone From Equal-Weight To Overweight, Maintained $1,300 Target",2020-03-17 09:11:00-04:00,AZO
129026,G,Shares of several automotive-related companies are trading higher as markets rebound following Monday's selloff. US President Trump on Monday suggested the US is considering a payroll tax cut to relieve the negative economic effects of the coronavirus.,2020-03-10 10:34:00-04:00,AZO
129027,N,14 Consumer Cyclical Stocks Moving In Monday's Session,2020-03-09 13:40:00-04:00,AZO
129030,N,"Nomura Maintains Buy on AutoZone, Lowers Price Target to $1200",2020-03-04 10:16:00-05:00,AZO
129031,N,"JP Morgan Maintains Overweight on AutoZone, Lowers Price Target to $1259",2020-03-04 08:24:00-05:00,AZO
129032,N,"RBC Capital Maintains Sector Perform on AutoZone, Lowers Price Target to $1091",2020-03-04 07:47:00-05:00,AZO
129033,N,"Wedbush Maintains Neutral on AutoZone, Lowers Price Target to $1100",2020-03-04 07:17:00-05:00,AZO
129034,G,"CFRA Upgrades AutoZone to Strong Buy, Lowers Price Target to $1250",2020-03-03 11:57:00-05:00,AZO
129035,N,Retail Snapshot – Can This Week Make a Difference?,2020-03-03 10:02:00-05:00,AZO
129038,N,"10 Stocks To Watch For March 3, 2020",2020-03-03 04:43:00-05:00,AZO
129039,N,"Earnings Scheduled For March 3, 2020",2020-03-03 04:12:00-05:00,AZO
129040,N,Q2 Earnings Preview For AutoZone,2020-03-02 13:50:00-05:00,AZO
129041,N,"UBS Maintains Buy on AutoZone, Lowers Price Target to $1325",2020-02-28 07:29:00-05:00,AZO
129042,N,8 Retail Stocks To Put In Your Cart,2020-02-20 09:01:00-05:00,AZO
129043,N,"Benzinga's Top Upgrades, Downgrades For January 6, 2020",2020-01-06 12:42:00-05:00,AZO
129044,B,AutoZone shares are trading lower after Wedbush analysts downgraded the stock from Outperform to Neutral.,2020-01-06 12:37:00-05:00,AZO
129045,B,Wedbush Downgrades AutoZone to Neutral,2020-01-06 08:37:00-05:00,AZO
129046,G,How AutoZone Is Improving Its Supply Chain To Bolster Its Valuation,2020-01-03 16:57:00-05:00,AZO
129047,N,"Morgan Stanley Maintains Equal-Weight on AutoZone, Raises Price Target to $1.3K",2019-12-13 08:31:00-05:00,AZO
129048,G,AutoZone's Stock Is On Track For A Record High,2019-12-12 11:46:00-05:00,AZO
129049,N,"Benzinga's Top Upgrades, Downgrades For December 11, 2019",2019-12-11 10:46:00-05:00,AZO
129050,N,"UPDATE: Nomura Maintains Buy On Autozone, Raises Target To $1.345K Notes Q1 'showed acceleration in comps and gross profit dollars, but perhaps more importantly, should show accelerating EBIT dollar growth from here'",2019-12-11 10:43:00-05:00,AZO
129051,N,"UPDATE: Wedbush Maintains Outperform On AutoZone, Raises Target To $1.375K Notes Co's  'Very strong comps, with improvement in commercial and DIY'",2019-12-11 10:27:00-05:00,AZO
129052,G,"UPDATE: Raymond James On AutoZone Notes 'we are impressed by the 10 bp improvement in gross margin rate, above expectations of a 20 bp decline, as it gives credence to our view that AutoZone still has room to modestly grow gross margin'",2019-12-11 10:17:00-05:00,AZO
129053,N,"UPDATE: Raymond James Maintains Outperform On AutoZone, Raises Target To $1.35K Notes 'AZO's F1Q20 comp sales results reflect another positive step in AutoZone's DIFM business, which we believe has a long runway for growth'",2019-12-11 10:16:00-05:00,AZO
129054,N,"Raymond James Maintains Outperform on AutoZone, Raises Price Target to $1.35K",2019-12-11 08:53:00-05:00,AZO
129055,N,"UBS Maintains Buy on AutoZone, Raises Price Target to $1.425K",2019-12-11 08:51:00-05:00,AZO
129056,N,"Oppenheimer Maintains Outperform on AutoZone, Raises Price Target to $1.415K",2019-12-11 08:50:00-05:00,AZO
129057,N,10 Biggest Price Target Changes For Wednesday,2019-12-11 08:17:00-05:00,AZO
129058,N,"Morgan Stanley Maintains Equal-Weight on AutoZone, Raises Price Target to $1.2K",2019-12-11 07:52:00-05:00,AZO
129059,N,"Credit Suisse Maintains Outperform on AutoZone, Raises Price Target to $1,350",2019-12-11 07:49:00-05:00,AZO
129060,N,"Nomura Maintains Buy on AutoZone, Raises Price Target to $1.345K",2019-12-11 07:40:00-05:00,AZO
129061,N,"Wedbush Maintains Outperform on AutoZone, Raises Price Target to $1.375K",2019-12-11 07:31:00-05:00,AZO
129062,G,Wolfe Research Upgrades AutoZone to Peer Perform,2019-12-11 05:57:00-05:00,AZO
129063,G,Mid-Afternoon Market Update: Avid Bioservices Jumps Following Strong Q2 Results; Conn's Shares Slide,2019-12-10 14:37:00-05:00,AZO
129064,G,Stocks That Hit 52-Week Highs On Tuesday,2019-12-10 14:27:00-05:00,AZO
129065,B,Mid-Day Market Update: Francesca's Drops After Q3 Results; Equillium Shares Surge,2019-12-10 12:07:00-05:00,AZO
129066,G,Mid-Morning Market Update: Markets Edge Higher; AutoZone Earnings Top Expectations,2019-12-10 10:25:00-05:00,AZO
129068,G,AutoZone shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.,2019-12-10 08:13:00-05:00,AZO
129069,G,AutoZone 1st Quarter Same Store Sales Increase 3.4%,2019-12-10 06:55:00-05:00,AZO
129070,G,"AutoZone Q1 EPS $14.3 Beats $13.77 Estimate, Sales $2.79B Beat $2.77B Estimate",2019-12-10 06:55:00-05:00,AZO
129072,N,"Earnings Scheduled For December 10, 2019",2019-12-10 04:43:00-05:00,AZO
129073,N,AutoZone Q1 Earnings Preview,2019-12-09 13:11:00-05:00,AZO
129074,N,"Wells Fargo Maintains Outperform on AutoZone, Raises Price Target to $1,300",2019-12-02 07:33:00-05:00,AZO
129076,N,"Benzinga's Top Upgrades, Downgrades For November 8, 2019",2019-11-08 09:33:00-05:00,AZO
129079,N,"Citigroup Maintains Buy on AutoZone, Raises Price Target to $1,363",2019-10-21 08:13:00-04:00,AZO
129080,N,Raymond James Reinstates Outperform on AutoZone,2019-10-08 08:27:00-04:00,AZO
129081,N,Friday's Market Minute: That's A Wrap On Earnings,2019-09-27 09:36:00-04:00,AZO
129082,B,"AutoZone Stock Down, But Sell-Side Says Engine Running Just Fine",2019-09-25 10:44:00-04:00,AZO
129083,N,"Morgan Stanley Maintains Equal-Weight on AutoZone, Raises Price Target to $1.1K",2019-09-25 08:48:00-04:00,AZO
129084,N,"RBC Capital Maintains Sector Perform on AutoZone, Raises Price Target to $1.097K",2019-09-25 07:56:00-04:00,AZO
129085,B,AutoZone shares are trading lower after the company reported worse-than-expected Q4 EPS and sales results.,2019-09-24 12:21:00-04:00,AZO
129086,B,AutoZone Reports Q4 Earnings Miss,2019-09-24 08:38:00-04:00,AZO
129088,B,"AutoZone Q4 Adj. EPS $20.95 Misses $21.79 Estimate, Adj. Sales $3.75B Miss $3.93B Estimate",2019-09-24 06:56:00-04:00,AZO
129090,N,"Earnings Scheduled For September 24, 2019",2019-09-24 03:50:00-04:00,AZO
129091,G,UPDATE: Wedbush On AutoZone Also Notes 'Industry drivers were positive in the quarter and execution remained solid based on our checks'; Firm Does Not 'expect to hear of a major negative impact from the recent modest ~+4% increase in gasoline prices',2019-09-19 12:12:00-04:00,AZO
129092,N,"UPDATE: Wedbush Maintains Outperform On AutoZone, Raises Target To $1,240 As Firm Expects 'key drivers of the AZO story to persist, including double-digit Commercial sales growth and gross margin expansion'",2019-09-19 12:12:00-04:00,AZO
129093,N,10 Biggest Price Target Changes For Thursday,2019-09-19 08:34:00-04:00,AZO
129094,N,"Wedbush Maintains Outperform on AutoZone, Raises Price Target to $1.24K",2019-09-19 07:33:00-04:00,AZO
129095,N,"Wells Fargo Maintains Outperform on AutoZone, Raises Price Target to $1.275K",2019-09-18 08:52:00-04:00,AZO
129096,N,"Citi Maintains Buy on AutoZone, Raises Price Target to $1.357K",2019-09-13 07:43:00-04:00,AZO
129097,G,"Shares of several apparel stores & retail companies are trading higher amid the withdrawal of the extradition bill, which eased tensions in Hong Kong and concerns of global growth slowing. The protests were seen as a potential disruptor to global growth.",2019-09-04 13:13:00-04:00,AZO
129098,B,"RBC Capital Analyst Gustavo Gonzalez Comments On Weakness In Auto Part Retail Companies, Tells Benzinga 'Auto Part Retail weakness due to GPC (NAPA) reporting softer-than-expected US auto results.'",2019-07-18 12:39:00-04:00,AZO
129099,B,"RBC Capital On Auto Part Weakness, Notes 'Auto Part Retail weakness due to GPC (NAPA) reporting softer-than-expected US auto results.'",2019-07-18 11:15:00-04:00,AZO
129100,B,Shares of several auto parts companies are trading lower after Genuine Parts reported weaker-than-expected US auto results.,2019-07-18 11:07:00-04:00,AZO
129101,N,"Goldman Sachs Initiates Coverage On AutoZone with Neutral Rating, Announces $1.183K Price Target",2019-07-11 07:54:00-04:00,AZO
129102,N,"Benzinga's Top Upgrades, Downgrades For June 28, 2019",2019-06-28 09:24:00-04:00,AZO
129103,G,Oppenheimer Upgrades AutoZone to Outperform,2019-06-28 08:10:00-04:00,AZO
129105,G,Many US-traded stocks are trading higher as recent economic signals have raised the potential for a Federal Reserve rate cut.,2019-06-07 12:31:00-04:00,AZO
129106,G,"AutoZone's Solid Q3 Results, Strong Hub Strategy Keep UBS Bullish",2019-05-22 10:29:00-04:00,AZO
129107,N,"Citigroup Maintains Buy on AutoZone, Inc. Common Stock, Raises Price Target to $1.234K",2019-05-22 10:16:00-04:00,AZO
129108,N,"Wedbush Maintains Outperform on AutoZone, Inc. Common Stock, Raises Price Target to $1.1K",2019-05-22 08:55:00-04:00,AZO
129109,G,AutoZone shares trading higher following better-than-expected Q3 results.,2019-05-21 11:31:00-04:00,AZO
129110,N,28 Stocks Moving In Tuesday's Pre-Market Session,2019-05-21 08:06:00-04:00,AZO
129111,G,"AutoZone Q3 EPS $15.99 Beats $15.14 Estimate, Sales $2.783B Beat $2.77B Estimate",2019-05-21 07:00:00-04:00,AZO
129113,N,"Earnings Scheduled For May 21, 2019",2019-05-21 04:08:00-04:00,AZO
129114,N,"Citigroup Maintains Buy on AutoZone, Raises Price Target to $1.206K",2019-04-01 08:20:00-04:00,AZO
129115,N,10 Biggest Price Target Changes For Friday,2019-03-29 10:36:00-04:00,AZO
129116,N,"Morgan Stanley Maintains Equal-Weight on AutoZone, Raises Price Target to $1.05K",2019-03-29 07:44:00-04:00,AZO
129117,G,AutoZone Adds $1B To Buyback,2019-03-20 17:00:00-04:00,AZO
129119,N,"Jim Cramer Weighs In On Autozone, Vivint Solar, Ship Finance International And More",2019-03-06 07:29:00-05:00,AZO
129120,G,Sell-Side Raise AutoZone Price Targets Following Big Earnings Beat,2019-02-27 12:21:00-05:00,AZO
129122,N,"Morgan Stanley Maintains Equal-Weight on AutoZone, Raises Price Target to $980",2019-02-27 09:49:00-05:00,AZO
129123,N,"Credit Suisse Maintains Outperform on AutoZone, Raises Price Target to $1.05K",2019-02-27 09:39:00-05:00,AZO
129124,N,"Deutsche Bank Maintains Buy on AutoZone, Raises Price Target to $1.035K",2019-02-27 09:25:00-05:00,AZO
129125,N,"Barclays Maintains Overweight on AutoZone, Raises Price Target to $1.05K",2019-02-27 09:07:00-05:00,AZO
129126,N,"Wells Fargo Maintains Outperform on AutoZone, Raises Price Target to $1.05K",2019-02-27 07:51:00-05:00,AZO
129129,G,AutoZone shares are trading higher after the company reported better than expected Q2 EPS and revenue results.,2019-02-26 08:52:00-05:00,AZO
129131,G,"AutoZone Q2 EPS $11.49 Beats $9.99 Estimate, Sales $2.451B Beat $2.45B Estimate",2019-02-26 07:00:00-05:00,AZO
129132,N,AutoZone Q2 Comps Up 2.6% Year Over Year,2019-02-26 06:59:00-05:00,AZO
129134,N,"Earnings Scheduled For February 26, 2019",2019-02-26 04:02:00-05:00,AZO
129135,N,AutoZone Q2 Earnings Preview,2019-02-25 13:35:00-05:00,AZO
129136,N,8 Biggest Price Target Changes For Friday,2019-02-08 10:30:00-05:00,AZO
129137,N,"Benzinga's Top Upgrades, Downgrades For February 8, 2019",2019-02-08 10:01:00-05:00,AZO
129138,B,"Oppenheimer Downgrades AutoZone to Perform, Raises Price Target to $900",2019-02-08 06:44:00-05:00,AZO
129139,N,10 Biggest Price Target Changes For Wednesday,2019-01-23 09:52:00-05:00,AZO
129140,N,"Morgan Stanley Maintains Equal-Weight on AutoZone, Raises Price Target to $900",2019-01-23 07:35:00-05:00,AZO
129142,N,"Jim Cramer Weighs In On AutoZone, Chevron, Turtle Beach And More",2019-01-10 07:10:00-05:00,AZO
129145,N,"Credit Suisse Maintains Outperform on AutoZone, Raises Price Target to $930",2018-12-06 09:59:00-05:00,AZO
129146,N,"Argus Maintains Buy on AutoZone, Raises Price Target to $940",2018-12-06 08:30:00-05:00,AZO
129147,G,Shares of AutoZone are trading up 6.0% after the company beat Q1 EPS and revenue estimates.,2018-12-04 12:14:00-05:00,AZO
129148,G,"AutoZone, Inc. Q1 EPS $13.47 Beats $12.21 Estimate, Sales $2.6B Miss $2.64B Estimate",2018-12-04 07:01:00-05:00,AZO
129151,N,"Citigroup Maintains Buy on AutoZone, Raises Price Target to $985",2018-12-03 09:38:00-05:00,AZO
129155,N,"Q3 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolio",2018-11-15 11:23:00-05:00,AZO
129157,N,"Morgan Stanley Maintains Equal-Weight on AutoZone, Raises Price Target to $800",2018-11-06 12:33:00-05:00,AZO
129159,N,10 Biggest Price Target Changes For Wednesday,2018-09-19 09:56:00-04:00,AZO
129160,N,"Citigroup Maintains Buy on AutoZone, Raises Price Target to $850",2018-09-19 06:57:00-04:00,AZO
129163,G,Mid-Morning Market Update: Markets Open Higher; AutoZone Profit Tops Views,2018-09-18 10:34:00-04:00,AZO
129164,B,AutoZone shares are down 5.5% after the company reported mixed Q4 earnings and reported inventories up 1.6% over the same period last year.,2018-09-18 08:56:00-04:00,AZO
129165,N,22 Stocks Moving In Tuesday's Pre-Market Session,2018-09-18 08:00:00-04:00,AZO
129169,N,"Earnings Scheduled For September 18, 2018",2018-09-18 06:05:00-04:00,AZO
129170,N,Earnings Preview: AutoZone,2018-09-17 17:50:00-04:00,AZO
129171,N,"The Week Ahead: Alibaba Investor Day, FedEx Earnings, Eventbrite IPO",2018-09-17 14:46:00-04:00,AZO
129172,B,Bank of America Downgrades AutoZone to Neutral,2018-09-17 09:11:00-04:00,AZO
129173,N,"Credit Suisse Maintains Outperform on AutoZone, Raises Price Target to $810",2018-09-05 09:36:00-04:00,AZO
129174,G,"Benzinga's Top Upgrades, Downgrades For August 15, 2018",2018-08-15 09:10:00-04:00,AZO
129175,G,Stephens & Co. Upgrades AutoZone to Overweight,2018-08-15 06:10:00-04:00,AZO
129176,N,10 Biggest Price Target Changes For Wednesday,2018-08-01 09:51:00-04:00,AZO
129177,N,"Benzinga's Top Upgrades, Downgrades For August 1, 2018",2018-08-01 09:08:00-04:00,AZO
129178,G,"Deutsche Bank Upgrades AutoZone to Buy, Raises Price Target to $805",2018-08-01 08:11:00-04:00,AZO
129179,N,10 Biggest Price Target Changes For Friday,2018-07-20 09:35:00-04:00,AZO
129180,N,"Wedbush Maintains Outperform on AutoZone, Raises Price Target to $770",2018-07-20 08:12:00-04:00,AZO
129181,G,European Union Said To Consider Car-Retaliation Levy Of ~20% Of US Action,2018-07-19 07:12:00-04:00,AZO
129182,N,"Jim Cramer Advises His Viewers On O'Reilly Automotive, Tyson Foods And Accenture",2018-07-11 07:30:00-04:00,AZO
129183,N,8 Biggest Price Target Changes For Wednesday,2018-06-27 10:47:00-04:00,AZO
129184,N,"Wedbush Maintains Outperform on AutoZone, Raises Price Target to $740",2018-06-27 07:49:00-04:00,AZO
129185,N,A Look Back At What's Happened To Each Sector Through The First Half Of 2018 (Part 1),2018-06-19 11:54:00-04:00,AZO
129186,N,8 Biggest Price Target Changes For Tuesday,2018-06-12 09:35:00-04:00,AZO
129187,N,"Wells Fargo Maintains Outperform on AutoZone, Raises Price Target to $800",2018-06-12 07:12:00-04:00,AZO
129188,N,8 Biggest Price Target Changes For Wednesday,2018-05-23 10:21:00-04:00,AZO
129189,N,"Morgan Stanley Maintains Equal-Weight on AutoZone, Lowers Price Target to $700",2018-05-23 08:50:00-04:00,AZO
129190,N,"Wedbush Maintains Outperform on AutoZone, Lowers Price Target to $680",2018-05-23 08:34:00-04:00,AZO
129191,N,"JP Morgan Maintains Overweight on AutoZone, Lowers Price Target to $800",2018-05-23 08:27:00-04:00,AZO
129193,B,Mid-Afternoon Market Update: Dow Down 75 Points; Ardelyx Shares Slide,2018-05-22 14:23:00-04:00,AZO
129195,B,Mid-Day Market Update: Dycom Industries Falls On Q3 Miss; America's Car-Mart Shares Gain,2018-05-22 12:00:00-04:00,AZO
129196,G,"China, U.S. Back Away From Trade War, Helping Market Sentiment",2018-05-22 11:28:00-04:00,AZO
129197,G,Mid-Morning Market Update: Markets Mixed; AutoZone Profit Beats Expectations,2018-05-22 10:19:00-04:00,AZO
129200,N,"Earnings Scheduled For May 22, 2018",2018-05-22 04:16:00-04:00,AZO
129205,N,"Argus Maintains Buy on AutoZone, Lowers Price Target to $850.00",2018-04-25 08:21:00-04:00,AZO
129206,N,"Benzinga's Top Upgrades, Downgrades For April 24, 2018",2018-04-24 09:13:00-04:00,AZO
129209,N,"Benzinga's Top Upgrades, Downgrades For April 5, 2018",2018-04-05 09:23:00-04:00,AZO
129210,G,Wedbush Upgrades AutoZone to Outperform,2018-04-05 07:57:00-04:00,AZO
129211,G,AutoZone Authorizes Additional $1B Stock Repurchase,2018-03-21 04:17:00-04:00,AZO
129212,N,"Citigroup Maintains Buy on AutoZone, Lowers Price Target to $790.00",2018-03-01 08:30:00-05:00,AZO
129218,N,"Earnings Scheduled For February 27, 2018",2018-02-27 04:01:00-05:00,AZO
129219,N,"Argus Maintains Buy on AutoZone, Raises Price Target to $875.00",2018-02-02 09:58:00-05:00,AZO
129220,G,Form 4 Filing Shows Autozone Sr. Vice President Philip Daniele Sold 740 Shares At $780.3669,2018-01-16 16:29:00-05:00,AZO
129221,N,"Companies Holding Shareholder Meetings Today Include: AutoZone Annual Mtg, and Ruby Tuesday Meeting To Vote On M&A",2017-12-20 08:33:00-05:00,AZO
129222,N,"The Week Ahead: New IPOs, Shareholder Meetings, And Earnings In Focus",2017-12-18 13:47:00-05:00,AZO
129223,B,"Earlier Today, Guggenheim Downgraded AutoZone to Neutral",2017-12-06 10:37:00-05:00,AZO
129224,N,7 Biggest Price Target Changes For Wednesday,2017-12-06 09:46:00-05:00,AZO
129225,G,AutoZone Shares Up 0.22%; Hearing RBC Capital Raised Price Target From $595 to $705,2017-12-05 15:19:00-05:00,AZO
129229,G,"AutoZone Reports Q1 EPS $10.00 vs $9.81 Est., Sales $2.59B vs $2.54B Est.",2017-12-05 06:58:00-05:00,AZO
129233,N,Moffett Nathanson Initiates Coverage On AutoZone with Neutral Rating,2017-12-04 10:36:00-05:00,AZO
129234,N,Jim Cramer Shares His Thoughts On AutoZone And National Grid,2017-12-01 07:36:00-05:00,AZO
129235,N,"UBS Maintains Buy on AutoZone, Raises Price Target From $655 to $750, Citing Expectations For Improved Comps In Q4 and Better Industry Trends",2017-11-29 10:45:00-05:00,AZO
129236,N,5 Biggest Price Target Changes For Thursday,2017-09-21 09:38:00-04:00,AZO
